feature,cramers_v,chi_square,p_value
odor,0.970148,6123.835549,0.0
spore-print-color,0.755038,3712.396756,0.0
gill-color,0.679044,3007.235278,0.0
ring-type,0.603549,2371.037875,0.0
stalk-surface-above-ring,0.591432,2275.94872,0.0
stalk-surface-below-ring,0.57592,2158.28208,0.0
gill-size,0.532388,1842.776336,0.0
stalk-color-above-ring,0.525743,1804.084154,0.0
stalk-color-below-ring,0.516947,1744.490443,0.0
bruises,0.502508,1641.835152,0.0
population,0.488362,1554.757386,0.0
habitat,0.433481,1227.01134,6.82174910966714e-262
stalk-root,0.408844,1090.163174,1.0264364718650544e-234
gill-spacing,0.348639,790.828681,5.32212797752783e-174
cap-shape,0.242263,386.376626,2.559083903889906e-81
ring-number,0.212139,294.429738,1.1625050039046713e-64
cap-color,0.211503,299.679098,3.0531891284367876e-59
cap-surface,0.188446,233.755686,2.1318907758476048e-50
veil-color,0.148908,147.083999,1.121402187900657e-31
gill-attachment,0.127987,107.442273,3.5612896494620583e-25
stalk-shape,0.103064,70.023029,5.861612235613985e-17
veil-type,0.0,0.0,1.0
